order_id,restaurant_id,restaurant_name,subzone,city,customer_id,order_status,items,item_count,distance_km,delivery_type,bill_subtotal,total_amount,discount_type,rating,order_ready_marked,customer_complaint,kpt_duration_minutes,rider_wait_minutes,order_created_at,order_accepted_at,order_rejected_at,food_prep_started_at,food_prepared_at,delivery_assigned_at,delivery_reached_restaurant_at,order_pickup_at,delivery_reached_customer_at,order_delivered_at,total_delivery_minutes,prep_time_minutes,de_wait_at_restaurant_minutes,last_mile_minutes
6168884918,20320607,Swaad,Sector 4,Delhi NCR,5d6c2b96db963098bc69768bea504c8bf46106a8a5178edf91a42e66a8179458,Delivered,"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Peri Peri Tangdi",2,3.0,Zomato Delivery,715.0,666.75,40% off upto Rs.80,,Correctly,,18.35,11.6,2024-09-10 23:38:00,2024-09-10 23:39:37.417221,,2024-09-10 23:41:32.390080,2024-09-10 23:59:53.390080,2024-09-10 23:55:24.963945,2024-09-11 00:02:53.971358,2024-09-11 00:14:29.971358,2024-09-11 00:23:29.929407,2024-09-11 00:25:43.870544,47.73117573333333,18.35,11.6,11.231653099999999
6170707559,20320607,Swaad,Sector 4,Delhi NCR,0781815deb4a10a574e9fee4fa0b86b074d4a0b36175d5a626dbc4710568bff4,Delivered,"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender, 1 x Grilled Chicken Angara Tender",3,2.0,Zomato Delivery,1179.0,1054.2,Flat Rs.175 off,,Correctly,,16.95,3.6,2024-09-10 23:34:00,2024-09-10 23:36:18.200702,,2024-09-10 23:37:48.424105,2024-09-10 23:54:45.424105,2024-09-10 23:46:24.251156,2024-09-10 23:53:29.332345,2024-09-10 23:57:05.332345,2024-09-11 00:02:36.989206,2024-09-11 00:03:28.997747,29.483295783333332,16.95,3.6,6.3944233666666666
6169375019,20320607,Swaad,Sector 4,Delhi NCR,f93362f5ce5382657482d164e368186bcec9c6225fd93d374453a2e6983151de,Delivered,1 x Bone in Peri Peri Grilled Chicken,1,1.0,Zomato Delivery,310.0,241.5,40% off upto Rs.80,,Correctly,,14.05,12.2,2024-09-10 15:52:00,2024-09-10 15:53:24.763604,,2024-09-10 15:54:36.288760,2024-09-10 16:08:39.288760,2024-09-10 16:03:45.234138,2024-09-10 16:06:53.750348,2024-09-10 16:19:05.750348,2024-09-10 16:21:40.711719,2024-09-10 16:22:54.675140,30.911252333333334,14.05,12.2,3.8154132
6151677434,20320607,Swaad,Sector 4,Delhi NCR,1ed226d1b8a5f7acee12fc1d6676558330a3b2b742af5d5c9d3ea550397d49ac,Delivered,"1 x Fried Chicken Ghostbuster Tender, 1 x Angara Grilled Paneer (8 pcs)",2,2.0,Zomato Delivery,620.0,567.0,40% off upto Rs.80,4.0,Correctly,,19.0,3.3,2024-09-10 15:45:00,2024-09-10 15:46:52.092597,,2024-09-10 15:48:30.180545,2024-09-10 16:07:30.180545,2024-09-10 15:59:19.850384,2024-09-10 16:04:08.697344,2024-09-10 16:07:51.524975,2024-09-10 16:12:12.544731,2024-09-10 16:13:03.007626,28.0501271,19.0,3.71379385,5.191377516666666
6167540897,20320607,Swaad,Sector 4,Delhi NCR,d21a2ac6ea06b31cc3288ab20c4ef2f292066c096f2c5f110a3098eeb39596d9,Delivered,"1 x Peri Peri Krispers, 1 x Fried Chicken Angara Tender",2,2.0,Zomato Delivery,584.0,529.2,40% off upto Rs.80,,Correctly,,15.97,1.0,2024-09-10 15:04:00,2024-09-10 15:04:41.709287,,2024-09-10 15:06:36.495612,2024-09-10 15:22:34.695612,2024-09-10 15:19:59.439627,2024-09-10 15:28:29.842138,2024-09-10 15:29:29.842138,2024-09-10 15:33:41.217583,2024-09-10 15:35:04.035882,31.0672647,15.97,1.0,5.569895733333333
6164725184,20320607,Swaad,Sector 4,Delhi NCR,4103fd4f3ee2166d322e76fabd420ae15f14a2816ca5a3be43133260bb1327f4,Delivered,"1 x Grilled Chicken Jamaican Tangdi, 1 x Bone in Jamaican Grilled Chicken",2,1.0,Zomato Delivery,715.0,666.75,40% off upto Rs.80,5.0,Correctly,,20.48,1.0,2024-09-10 12:28:00,2024-09-10 12:28:51.966882,,2024-09-10 12:30:00.474927,2024-09-10 12:50:29.274927,2024-09-10 12:40:29.664742,2024-09-10 12:50:14.774366,2024-09-10 12:51:14.774366,2024-09-10 12:53:47.955342,2024-09-10 12:55:20.363505,27.33939175,20.48,1.0,4.093152316666666
6151460444,20320607,Swaad,Sector 4,Delhi NCR,24d7ca74eb1efe217e88062d2519403ba11d62f5953186d71cfd3a02233275ab,Delivered,1 x Bone in Jamaican Grilled Chicken,1,6.0,Zomato Delivery,370.0,304.5,40% off upto Rs.80,,Incorrectly,,10.53,7.0,2024-09-10 00:03:00,2024-09-10 00:05:08.407850,,2024-09-10 00:05:45.263004,2024-09-10 00:16:17.063004,2024-09-10 00:14:35.567253,2024-09-10 00:20:06.886318,2024-09-10 00:27:06.886318,2024-09-10 00:40:13.742334,2024-09-10 00:42:34.367242,39.57278736666667,10.53,7.0,15.458015399999999
6167255032,20320607,Swaad,Sector 4,Delhi NCR,fa1710c1c41dd4f29b810b78f8e7c08a356ca0fdc3930713e020e1ed258ceb4e,Delivered,1 x Bone in Angara Grilled Chicken,1,2.0,Zomato Delivery,310.0,241.5,40% off upto Rs.80,,Correctly,,9.68,1.5,2024-09-09 22:54:00,2024-09-09 22:54:45.928650,,2024-09-09 22:55:23.918902,2024-09-09 23:05:04.718902,2024-09-09 23:00:23.512705,2024-09-09 23:04:19.515147,2024-09-09 23:05:49.515147,2024-09-09 23:09:44.528342,2024-09-09 23:10:57.338741,16.955645683333334,9.68,1.5,5.130393233333334
6167184688,20320607,Swaad,Sector 4,Delhi NCR,c521ccf21e7bb2207c3f08d578b6e028d2c3b25986cb35dd5930ede1d8a643da,Delivered,"1 x Fried Chicken Angara Tender, 1 x Angara Rice",2,1.0,Zomato Delivery,473.0,412.65,40% off upto Rs.80,,Correctly,,15.2,8.3,2024-09-09 22:51:00,2024-09-09 22:52:20.568212,,2024-09-09 22:53:33.923212,2024-09-09 23:08:45.923212,2024-09-09 23:01:54.906225,2024-09-09 23:12:10.547647,2024-09-09 23:20:28.547647,2024-09-09 23:22:29.122476,2024-09-09 23:23:22.968358,32.382805966666666,15.2,8.3,2.9070118500000004
6163081676,20320607,Swaad,Sector 4,Delhi NCR,ac2ee09679412d4248884cdfd7637d9b3529eeac0e2f27a6c143a53bba064764,Delivered,1 x Grilled Chicken Peri Peri Tangdi,1,1.0,Zomato Delivery,405.0,341.25,40% off upto Rs.80,,Correctly,,11.38,3.7,2024-09-09 15:22:00,2024-09-09 15:22:30.993981,,2024-09-09 15:24:12.171047,2024-09-09 15:35:34.971047,2024-09-09 15:32:42.495815,2024-09-09 15:38:27.053617,2024-09-09 15:42:09.053617,2024-09-09 15:44:38.141528,2024-09-09 15:45:22.045815,23.367430249999998,11.379999999999999,3.7,3.2165366333333334
